,Date,Visitor,Visitor G,Home,Home G,Visitor Open,Visitor Best,Home Open,Home Best
10,2022-11-17,New York Rangers,2,Seattle Kraken,3,-110,-140,-110,+120
11,2022-11-17,Arizona Coyotes,1,Vegas Golden Knights,4,+270,+325,-345,-400
12,2022-11-17,Detroit Red Wings,7,San Jose Sharks,4,+114,+105,-137,-120
0,2022-11-18,Los Angeles Kings,1,Vancouver Canucks,4,-102,-105,-118,-115
0,2022-11-19,New Jersey Devils,5,Ottawa Senators,1,-120,-120,+100,+110
1,2022-11-19,Calgary Flames,5,Florida Panthers,4,+112,+120,-134,-135
2,2022-11-19,Philadelphia Flyers,4,Montréal Canadiens,5,+106,+115,-128,-130
3,2022-11-19,Detroit Red Wings,6,Columbus Blue Jackets,1,-110,-135,-110,+118
4,2022-11-19,Buffalo Sabres,2,Toronto Maple Leafs,5,+275,+240,-350,-275
5,2022-11-19,Chicago Blackhawks,1,Boston Bruins,6,+290,+360,-385,-395
6,2022-11-19,Pittsburgh Penguins,3,Winnipeg Jets,0,-105,-125,-114,+105
7,2022-11-19,Colorado Avalanche,4,Washington Capitals,0,-152,-120,+126,+100
8,2022-11-19,Carolina Hurricanes,1,Minnesota Wild,2,-120,-120,+100,+105
9,2022-11-19,Anaheim Ducks,2,St. Louis Blues,6,+188,+160,-230,-185
10,2022-11-19,Tampa Bay Lightning,3,Nashville Predators,2,-137,-125,+114,+115
11,2022-11-19,New York Islanders,2,Dallas Stars,5,+112,+135,-134,-155
12,2022-11-19,Vegas Golden Knights,3,Edmonton Oilers,4,+100,-115,-120,-105
13,2022-11-19,Los Angeles Kings,2,Seattle Kraken,3,-104,+105,-115,-125
14,2022-11-19,New York Rangers,2,San Jose Sharks,1,-137,-170,+114,+145
0,2022-11-20,Florida Panthers,3,Columbus Blue Jackets,5,-200,-260,+164,+220
1,2022-11-20,Pittsburgh Penguins,5,Chicago Blackhawks,3,-192,-225,+158,+192
0,2022-11-21,Edmonton Oilers,2,New Jersey Devils,5,+114,+130,-134,-150
1,2022-11-21,Calgary Flames,5,Philadelphia Flyers,2,-166,-225,+138,+185
2,2022-11-21,Boston Bruins,5,Tampa Bay Lightning,3,+122,-105,-146,-115
3,2022-11-21,New York Islanders,3,Toronto Maple Leafs,2,+146,+155,-178,-175
4,2022-11-21,Carolina Hurricanes,3,Winnipeg Jets,4,-130,-170,+108,+150
5,2022-11-21,Anaheim Ducks,1,St. Louis Blues,3,+180,+175,-220,-210
6,2022-11-21,Arizona Coyotes,3,Nashville Predators,4,+210,+215,-260,-250
7,2022-11-21,Colorado Avalanche,3,Dallas Stars,2,-110,+100,-110,-115
8,2022-11-21,Vegas Golden Knights,5,Vancouver Canucks,4,-166,-140,+138,+120
9,2022-11-21,Ottawa Senators,1,San Jose Sharks,5,+122,-115,-146,-105
0,2022-11-22,Buffalo Sabres,7,Montréal Canadiens,2,+106,-105,-128,-110
1,2022-11-22,New York Rangers,5,Los Angeles Kings,3,-110,-135,-110,+1100
0,2022-11-23,Toronto Maple Leafs,2,New Jersey Devils,1,-102,+115,-118,-135
1,2022-11-23,Boston Bruins,2,Florida Panthers,5,-114,+100,-105,-110
2,2022-11-23,St. Louis Blues,2,Buffalo Sabres,6,-170,-135,+140,+120
3,2022-11-23,Nashville Predators,0,Detroit Red Wings,3,-105,+110,-115,-125
4,2022-11-23,Montréal Canadiens,3,Columbus Blue Jackets,1,-105,+105,-114,-120
5,2022-11-23,Arizona Coyotes,4,Carolina Hurricanes,0,+285,+300,-365,-375
6,2022-11-23,Winnipeg Jets,1,Minnesota Wild,6,+114,+135,-137,-160
7,2022-11-23,Calgary Flames,1,Pittsburgh Penguins,2,+100,+105,-120,-125
8,2022-11-23,Philadelphia Flyers,2,Washington Capitals,3,+180,+205,-220,-250
9,2022-11-23,Edmonton Oilers,0,New York Islanders,3,-111,+100,-108,-120
10,2022-11-23,Chicago Blackhawks,4,Dallas Stars,6,+190,+250,-235,-300
11,2022-11-23,San Jose Sharks,5,Seattle Kraken,8,+110,+158,-132,-175
12,2022-11-23,Ottawa Senators,1,Vegas Golden Knights,4,+160,+205,-194,-250
13,2022-11-23,New York Rangers,2,Anaheim Ducks,3,-188,-155,+155,+140
14,2022-11-23,Vancouver Canucks,4,Colorado Avalanche,3,+215,+170,-265,-205
0,2022-11-25,Carolina Hurricanes,2,Boston Bruins,3,+112,+135,-134,-155
1,2022-11-25,Calgary Flames,0,Washington Capitals,3,-110,-125,-110,+105
2,2022-11-25,Toronto Maple Leafs,4,Minnesota Wild,3,-110,-105,-110,-115
3,2022-11-25,Colorado Avalanche,3,Nashville Predators,4,-134,-130,+112,+110
4,2022-11-25,Montréal Canadiens,3,Chicago Blackhawks,2,+104,+105,-125,-120
5,2022-11-25,Ottawa Senators,5,Anaheim Ducks,1,-135,-155,+115,+130
6,2022-11-25,Pittsburgh Penguins,4,Philadelphia Flyers,1,-172,-225,+142,+196
7,2022-11-25,New York Islanders,3,Columbus Blue Jackets,2,-172,-190,+142,+162
8,2022-11-25,Seattle Kraken,4,Vegas Golden Knights,2,+130,+165,-156,-190
9,2022-11-25,Arizona Coyotes,3,Detroit Red Wings,4,+155,+170,-188,-200
10,2022-11-25,St. Louis Blues,2,Tampa Bay Lightning,5,+130,+165,-156,-190
11,2022-11-25,New Jersey Devils,3,Buffalo Sabres,1,-160,-150,+132,+135
12,2022-11-25,Winnipeg Jets,5,Dallas Stars,4,+130,+143,-156,-165
13,2022-11-25,Los Angeles Kings,5,San Jose Sharks,2,-115,-145,-104,+122
0,2022-11-26,Edmonton Oilers,4,New York Rangers,3,+110,+140,-132,-160
1,2022-11-26,Calgary Flames,2,Carolina Hurricanes,3,+116,+115,-140,-130
2,2022-11-26,St. Louis Blues,5,Florida Panthers,4,+130,+175,-156,-205
3,2022-11-26,Washington Capitals,1,New Jersey Devils,5,+128,+162,-154,-190
4,2022-11-26,Toronto Maple Leafs,4,Pittsburgh Penguins,1,+100,+115,-120,-130
5,2022-11-26,Philadelphia Flyers,2,New York Islanders,5,+180,+196,-220,-225
6,2022-11-26,Columbus Blue Jackets,1,Nashville Predators,2,+160,+180,-194,-220
7,2022-11-26,Dallas Stars,1,Colorado Avalanche,4,+106,+150,-128,-165
8,2022-11-26,Vancouver Canucks,5,Vegas Golden Knights,1,+146,+165,-178,-195
0,2022-11-27,Arizona Coyotes,3,Minnesota Wild,4,+255,+240,-320,-300
1,2022-11-27,Winnipeg Jets,7,Chicago Blackhawks,2,-194,-165,+160,+145
2,2022-11-27,Seattle Kraken,5,Anaheim Ducks,4,-178,-175,+146,+150
3,2022-11-27,Vancouver Canucks,4,San Jose Sharks,3,-134,-115,+112,-105
4,2022-11-27,Ottawa Senators,3,Los Angeles Kings,2,+122,+135,-146,-155
0,2022-11-28,Tampa Bay Lightning,6,Buffalo Sabres,5,-194,-145,+160,+130
1,2022-11-28,New Jersey Devils,5,New York Rangers,3,-102,+100,-118,-115
2,2022-11-28,Vegas Golden Knights,3,Columbus Blue Jackets,2,-196,-285,+162,+240
3,2022-11-28,Toronto Maple Leafs,4,Detroit Red Wings,2,-164,-155,+136,+130
4,2022-11-28,Dallas Stars,4,St. Louis Blues,1,+100,-120,-120,+100
5,2022-11-28,Florida Panthers,3,Edmonton Oilers,4,-111,-105,-108,-105
0,2022-11-29,Carolina Hurricanes,3,Pittsburgh Penguins,2,-102,+100,-117,-115
1,2022-11-29,San Jose Sharks,4,Montréal Canadiens,0,+108,-110,-130,-110
2,2022-11-29,Tampa Bay Lightning,1,Boston Bruins,3,+127,+150,-151,-165
3,2022-11-29,New York Islanders,1,Philadelphia Flyers,3,-182,-190,+150,+162
4,2022-11-29,Anaheim Ducks,1,Nashville Predators,2,+187,+196,-225,-225
5,2022-11-29,Colorado Avalanche,0,Winnipeg Jets,5,-147,-135,+125,+115
6,2022-11-29,Florida Panthers,2,Calgary Flames,6,+120,+130,-142,-150
7,2022-11-29,Washington Capitals,5,Vancouver Canucks,1,+104,+100,-125,-115
8,2022-11-29,Seattle Kraken,9,Los Angeles Kings,8,+112,+115,-133,-130
0,2022-11-30,Buffalo Sabres,5,Detroit Red Wings,4,+116,+110,-140,-130
1,2022-11-30,San Jose Sharks,1,Toronto Maple Leafs,3,+255,+250,-320,-300
2,2022-11-30,New York Rangers,3,Ottawa Senators,1,-128,-105,+106,-110
3,2022-11-30,Edmonton Oilers,5,Chicago Blackhawks,4,-192,-225,+158,+185
0,2022-12-01,Nashville Predators,4,New Jersey Devils,3,+146,+170,-176,-205
1,2022-12-01,Vegas Golden Knights,3,Pittsburgh Penguins,4,+114,+100,-137,-115
2,2022-12-01,Colorado Avalanche,6,Buffalo Sabres,4,-260,-175,+210,+150
3,2022-12-01,Tampa Bay Lightning,4,Philadelphia Flyers,1,-235,-220,+190,+180
4,2022-12-01,Carolina Hurricanes,6,St. Louis Blues,4,-137,-140,+114,+120
5,2022-12-01,Edmonton Oilers,3,Minnesota Wild,5,+114,+140,-137,-155
6,2022-12-01,Anaheim Ducks,0,Dallas Stars,5,+255,+250,-320,-300
7,2022-12-01,Montréal Canadiens,2,Calgary Flames,1,+180,+255,-220,-300
8,2022-12-01,Florida Panthers,5,Vancouver Canucks,1,-152,-125,+126,+105
9,2022-12-01,Washington Capitals,2,Seattle Kraken,3,+100,+100,-120,-115
10,2022-12-01,Arizona Coyotes,3,Los Angeles Kings,5,+198,+205,-245,-235
0,2022-12-02,Ottawa Senators,3,New York Rangers,2,+162,+160,-196,-185
1,2022-12-02,Nashville Predators,4,New York Islanders,1,+125,+145,-150,-165
2,2022-12-02,Columbus Blue Jackets,4,Winnipeg Jets,1,+195,+175,-240,-200
0,2022-12-03,Anaheim Ducks,4,Minnesota Wild,5,+255,+240,-320,-300
1,2022-12-03,Montréal Canadiens,3,Edmonton Oilers,5,+172,+205,-205,-250
2,2022-12-03,New Jersey Devils,3,Philadelphia Flyers,2,-194,-220,+160,+180
3,2022-12-03,San Jose Sharks,2,Ottawa Senators,5,+106,+122,-128,-140
4,2022-12-03,Colorado Avalanche,1,Boston Bruins,5,+100,+140,-120,-165
5,2022-12-03,Toronto Maple Leafs,3,Tampa Bay Lightning,4,+118,+115,-142,-130
6,2022-12-03,St. Louis Blues,2,Pittsburgh Penguins,6,+136,+158,-164,-175
7,2022-12-03,Vegas Golden Knights,4,Detroit Red Wings,1,-125,-140,+104,+125
8,2022-12-03,Chicago Blackhawks,5,New York Rangers,2,+220,+222,-275,-275
9,2022-12-03,Washington Capitals,2,Calgary Flames,5,+112,+140,-134,-165
10,2022-12-03,Arizona Coyotes,2,Vancouver Canucks,3,+198,+175,-245,-210
11,2022-12-03,Florida Panthers,5,Seattle Kraken,1,-110,-120,-110,+100
12,2022-12-03,Carolina Hurricanes,4,Los Angeles Kings,2,-144,-130,+120,+122
0,2022-12-04,Anaheim Ducks,2,Winnipeg Jets,5,+206,+230,-250,-275
1,2022-12-04,Minnesota Wild,6,Dallas Stars,5,+110,+135,-132,-155
2,2022-12-04,Detroit Red Wings,4,Columbus Blue Jackets,2,-130,-120,+110,+105
3,2022-12-04,San Jose Sharks,3,Buffalo Sabres,6,+121,+135,-142,-150
4,2022-12-04,Chicago Blackhawks,0,New York Islanders,3,+209,+240,-252,-300
0,2022-12-05,Colorado Avalanche,3,Philadelphia Flyers,5,-220,-200,+180,+170
1,2022-12-05,St. Louis Blues,4,New York Rangers,6,+126,+145,-152,-165
2,2022-12-05,Vegas Golden Knights,4,Boston Bruins,3,+138,+162,-166,-185
3,2022-12-05,Washington Capitals,3,Edmonton Oilers,2,+122,+135,-146,-160
4,2022-12-05,Arizona Coyotes,2,Calgary Flames,3,+174,+278,-216,-325
5,2022-12-05,Montréal Canadiens,6,Vancouver Canucks,7,+168,+210,-205,-225
0,2022-12-06,Detroit Red Wings,4,Tampa Bay Lightning,2,+164,+210,-200,-250
1,2022-12-06,Los Angeles Kings,5,Ottawa Senators,2,-110,-105,-110,-115
2,2022-12-06,Chicago Blackhawks,0,New Jersey Devils,3,+220,+335,-275,-430
3,2022-12-06,Columbus Blue Jackets,1,Pittsburgh Penguins,4,+215,+240,-265,-275
4,2022-12-06,St. Louis Blues,7,New York Islanders,4,+130,+162,-156,-175
5,2022-12-06,Florida Panthers,2,Winnipeg Jets,5,-122,-115,+102,-105
6,2022-12-06,Toronto Maple Leafs,4,Dallas Stars,0,+100,+100,-120,-115
7,2022-12-06,Montréal Canadiens,4,Seattle Kraken,2,+155,+222,-188,-275
8,2022-12-06,Carolina Hurricanes,3,Anaheim Ducks,4,-196,-300,+162,+240
0,2022-12-07,Washington Capitals,4,Philadelphia Flyers,1,-170,-135,+140,+120
1,2022-12-07,Buffalo Sabres,9,Columbus Blue Jackets,4,+100,-155,-120,+135
2,2022-12-07,Minnesota Wild,3,Calgary Flames,5,+116,+130,-140,-150
3,2022-12-07,Boston Bruins,4,Colorado Avalanche,0,-110,-175,-110,+150
4,2022-12-07,Arizona Coyotes,2,Edmonton Oilers,8,+255,+240,-320,-300
5,2022-12-07,New York Rangers,5,Vegas Golden Knights,1,+136,+110,-164,-125
6,2022-12-07,Vancouver Canucks,6,San Jose Sharks,5,-122,-120,+102,+100
0,2022-12-08,Nashville Predators,2,Tampa Bay Lightning,5,+158,+152,-192,-180
1,2022-12-08,Los Angeles Kings,0,Toronto Maple Leafs,5,+155,+150,-188,-175
2,2022-12-08,Detroit Red Wings,1,Florida Panthers,5,+146,+180,-176,-200
3,2022-12-08,Winnipeg Jets,5,St. Louis Blues,2,-102,-120,-118,+105
4,2022-12-08,Ottawa Senators,3,Dallas Stars,4,+172,+170,-210,-200
0,2022-12-09,Seattle Kraken,1,Washington Capitals,4,+122,+122,-146,-145
1,2022-12-09,Calgary Flames,1,Columbus Blue Jackets,3,-230,-250,+190,+220
2,2022-12-09,Pittsburgh Penguins,4,Buffalo Sabres,3,-130,-150,+108,+130
3,2022-12-09,New York Islanders,6,New Jersey Devils,4,+142,+192,-172,-225
4,2022-12-09,Winnipeg Jets,3,Chicago Blackhawks,1,-142,-145,+118,+125
5,2022-12-09,New York Rangers,2,Colorado Avalanche,1,-130,-150,+108,+135
6,2022-12-09,Minnesota Wild,2,Edmonton Oilers,5,+105,+105,-126,-125
7,2022-12-09,Boston Bruins,3,Arizona Coyotes,4,-275,-350,+220,+280
8,2022-12-09,Philadelphia Flyers,1,Vegas Golden Knights,2,+220,+215,-275,-250
9,2022-12-09,San Jose Sharks,6,Anaheim Ducks,1,-110,-115,-110,-105
0,2022-12-10,Ottawa Senators,3,Nashville Predators,2,+146,+115,-178,-135
1,2022-12-10,Detroit Red Wings,2,Dallas Stars,3,+168,+170,-205,-200
2,2022-12-10,Florida Panthers,1,Tampa Bay Lightning,4,+126,+130,-152,-135
3,2022-12-10,Los Angeles Kings,4,Montréal Canadiens,2,-125,-160,+104,+150
4,2022-12-10,Calgary Flames,4,Toronto Maple Leafs,5,+131,+143,-154,-165
5,2022-12-10,Buffalo Sabres,1,Pittsburgh Penguins,3,+146,+180,-176,-220
6,2022-12-10,Carolina Hurricanes,3,New York Islanders,0,-167,-135,+140,+120
7,2022-12-10,Minnesota Wild,3,Vancouver Canucks,0,-120,-105,+100,-110
0,2022-12-11,Colorado Avalanche,3,St. Louis Blues,2,+150,-120,-182,+100
1,2022-12-11,Seattle Kraken,5,Florida Panthers,2,+146,+135,-176,-160
2,2022-12-11,Los Angeles Kings,5,Columbus Blue Jackets,6,-140,-150,+115,+130
3,2022-12-11,Washington Capitals,5,Winnipeg Jets,2,+110,+115,-130,-130
4,2022-12-11,Philadelphia Flyers,4,Arizona Coyotes,5,-128,-110,+106,-110
5,2022-12-11,Boston Bruins,3,Vegas Golden Knights,1,-110,-160,-110,+145
0,2022-12-12,Dallas Stars,1,Pittsburgh Penguins,2,+105,+110,-126,-130
1,2022-12-12,Calgary Flames,1,Montréal Canadiens,2,-172,-200,+140,+170
2,2022-12-12,New Jersey Devils,3,New York Rangers,4,-102,+100,-118,-110
3,2022-12-12,Anaheim Ducks,0,Ottawa Senators,3,+130,+192,-156,-225
4,2022-12-12,Edmonton Oilers,1,Minnesota Wild,2,+114,+105,-137,-125
5,2022-12-12,Nashville Predators,0,St. Louis Blues,1,+100,-115,-120,+100
0,2022-12-13,New York Islanders,3,Boston Bruins,4,+160,+220,-194,-267
1,2022-12-13,Carolina Hurricanes,1,Detroit Red Wings,0,-154,-165,+128,+150
2,2022-12-13,Columbus Blue Jackets,0,Florida Panthers,4,+255,+230,-320,-278
3,2022-12-13,Los Angeles Kings,0,Buffalo Sabres,6,-110,-110,-110,-105
4,2022-12-13,Dallas Stars,4,New Jersey Devils,1,+122,+140,-146,-160
5,2022-12-13,Seattle Kraken,2,Tampa Bay Lightning,6,+162,+175,-196,-190
6,2022-12-13,Anaheim Ducks,0,Toronto Maple Leafs,7,+300,+375,-385,-480
7,2022-12-13,Edmonton Oilers,6,Nashville Predators,3,-137,-130,+114,+115
8,2022-12-13,Vegas Golden Knights,6,Winnipeg Jets,5,+114,+125,-137,-140
9,2022-12-13,Philadelphia Flyers,2,Colorado Avalanche,3,+168,+196,-205,-225
10,2022-12-13,Washington Capitals,7,Chicago Blackhawks,3,-194,-210,+160,+180
11,2022-12-13,Arizona Coyotes,2,San Jose Sharks,3,+142,+145,-172,-170
0,2022-12-14,Montréal Canadiens,2,Ottawa Senators,3,+128,+180,-154,-215
1,2022-12-14,Detroit Red Wings,1,Minnesota Wild,4,+172,+220,-210,-250
2,2022-12-14,Vancouver Canucks,4,Calgary Flames,3,+142,+160,-172,-185
0,2022-12-15,Columbus Blue Jackets,1,Tampa Bay Lightning,4,+255,+260,-320,-292
1,2022-12-15,Pittsburgh Penguins,4,Florida Panthers,2,+112,-105,-134,-110
2,2022-12-15,Philadelphia Flyers,2,New Jersey Devils,1,+198,+250,-245,-300
3,2022-12-15,Los Angeles Kings,3,Boston Bruins,2,+162,+205,-196,-250
4,2022-12-15,Toronto Maple Leafs,1,New York Rangers,3,-134,-120,+112,+105
5,2022-12-15,Dallas Stars,2,Washington Capitals,1,-104,-115,-115,-105
6,2022-12-15,Seattle Kraken,2,Carolina Hurricanes,3,+164,+165,-200,-190
7,2022-12-15,Anaheim Ducks,5,Montréal Canadiens,2,+140,+135,-170,-155
8,2022-12-15,Nashville Predators,1,Winnipeg Jets,2,+142,+140,-172,-160
9,2022-12-15,Vegas Golden Knights,4,Chicago Blackhawks,1,-220,-200,+180,+175
10,2022-12-15,Buffalo Sabres,4,Colorado Avalanche,2,+180,+158,-220,-185
11,2022-12-15,St. Louis Blues,4,Edmonton Oilers,3,+162,+145,-196,-170
0,2022-12-16,Chicago Blackhawks,1,Minnesota Wild,4,+260,+340,-330,-415
1,2022-12-16,St. Louis Blues,5,Calgary Flames,2,+176,+185,-215,-225
2,2022-12-16,New York Islanders,4,Arizona Coyotes,5,-192,-178,+158,+150
0,2022-12-17,Ottawa Senators,6,Detroit Red Wings,3,+100,-110,-120,-110
1,2022-12-17,Columbus Blue Jackets,2,Boston Bruins,4,+285,+345,-365,-440
2,2022-12-17,Anaheim Ducks,4,Edmonton Oilers,3,+300,+260,-385,-335
3,2022-12-17,Toronto Maple Leafs,2,Washington Capitals,5,-137,-130,+114,+125
4,2022-12-17,Tampa Bay Lightning,5,Montréal Canadiens,1,-225,-250,+184,+220
5,2022-12-17,New York Rangers,6,Philadelphia Flyers,3,-178,-160,+146,+145
6,2022-12-17,Dallas Stars,4,Carolina Hurricanes,5,+146,+143,-176,-145
7,2022-12-17,Florida Panthers,4,New Jersey Devils,2,+105,+120,-126,-135
8,2022-12-17,Nashville Predators,1,Colorado Avalanche,3,+158,+145,-192,-170
9,2022-12-17,Buffalo Sabres,5,Arizona Coyotes,2,-172,-170,+142,+145
10,2022-12-17,New York Islanders,5,Vegas Golden Knights,2,+158,+145,-192,-170
11,2022-12-17,Winnipeg Jets,5,Vancouver Canucks,1,+104,-115,-125,+110
12,2022-12-17,San Jose Sharks,2,Los Angeles Kings,3,+158,+135,-192,-155
0,2022-12-18,Ottawa Senators,2,Minnesota Wild,4,+162,+175,-196,-210
1,2022-12-18,Pittsburgh Penguins,2,Carolina Hurricanes,3,+116,+110,-140,-125
2,2022-12-18,New York Rangers,7,Chicago Blackhawks,1,-215,-250,+176,+210
3,2022-12-18,Winnipeg Jets,2,Seattle Kraken,3,+106,+135,-128,-150
4,2022-12-18,Calgary Flames,5,San Jose Sharks,2,-172,-175,+142,+158
0,2022-12-19,Florida Panthers,3,Boston Bruins,7,+146,+175,-176,-200
1,2022-12-19,Detroit Red Wings,3,Washington Capitals,4,+195,+160,-240,-175
2,2022-12-19,Dallas Stars,2,Columbus Blue Jackets,1,-245,-235,+198,+205
3,2022-12-19,Edmonton Oilers,3,Nashville Predators,4,-142,-115,+118,-105
4,2022-12-19,New York Islanders,0,Colorado Avalanche,1,+134,+130,-162,-150
5,2022-12-19,Montréal Canadiens,3,Arizona Coyotes,2,+102,+105,-122,-115
6,2022-12-19,Buffalo Sabres,3,Vegas Golden Knights,2,+160,+130,-194,-155
7,2022-12-19,St. Louis Blues,5,Vancouver Canucks,1,-102,-110,-118,-110
0,2022-12-20,New Jersey Devils,1,Carolina Hurricanes,4,+138,+100,-166,-120
1,2022-12-20,Tampa Bay Lightning,1,Toronto Maple Leafs,4,-120,+118,+100,-135
2,2022-12-20,Columbus Blue Jackets,3,Philadelphia Flyers,5,+114,+158,-137,-185
3,2022-12-20,New York Rangers,2,Pittsburgh Penguins,3,+106,+115,-128,-135
4,2022-12-20,Ottawa Senators,1,Winnipeg Jets,5,+142,+105,-172,-125
5,2022-12-20,St. Louis Blues,2,Seattle Kraken,5,+126,+158,-152,-165
6,2022-12-20,Calgary Flames,7,San Jose Sharks,3,-182,-185,+150,+160
7,2022-12-20,Anaheim Ducks,1,Los Angeles Kings,4,+220,+222,-275,-255
0,2022-12-21,Tampa Bay Lightning,4,Detroit Red Wings,7,-230,-130,+188,+130
1,2022-12-21,New Jersey Devils,4,Florida Panthers,2,+126,+115,-152,-130
2,2022-12-21,Montréal Canadiens,1,Colorado Avalanche,2,+215,+228,-265,-275
3,2022-12-21,Nashville Predators,4,Chicago Blackhawks,2,-152,-190,+126,+170
4,2022-12-21,Edmonton Oilers,6,Dallas Stars,3,+118,+122,-144,-135
5,2022-12-21,Minnesota Wild,4,Anaheim Ducks,1,-275,-275,+220,+225
6,2022-12-21,Arizona Coyotes,2,Vegas Golden Knights,5,+220,+250,-275,-300
0,2022-12-22,Philadelphia Flyers,3,Toronto Maple Leafs,4,+255,+260,-320,-335
1,2022-12-22,Washington Capitals,3,Ottawa Senators,2,-110,-125,-110,+115
2,2022-12-22,Winnipeg Jets,2,Boston Bruins,3,+168,+200,-205,-240
3,2022-12-22,Carolina Hurricanes,4,Pittsburgh Penguins,3,-105,+115,-115,-135
4,2022-12-22,New York Islanders,3,New York Rangers,5,+146,+140,-178,-155
5,2022-12-22,Seattle Kraken,5,Vancouver Canucks,6,-110,-115,-110,+100
6,2022-12-22,Calgary Flames,3,Los Angeles Kings,4,-120,-120,+100,+100
7,2022-12-22,Minnesota Wild,2,San Jose Sharks,5,-160,-165,+132,+143
0,2022-12-27,Boston Bruins,2,Ottawa Senators,3,-165,-190,+140,+170
1,2022-12-27,Washington Capitals,4,New York Rangers,0,+135,+135,-155,-160
2,2022-12-27,Chicago Blackhawks,0,Carolina Hurricanes,3,+290,+360,-350,-450
3,2022-12-27,Buffalo Sabres,3,Columbus Blue Jackets,4,-165,-160,+140,+140
4,2022-12-27,Pittsburgh Penguins,1,New York Islanders,5,-110,-130,-110,+120
5,2022-12-27,Minnesota Wild,4,Winnipeg Jets,1,-125,-120,+105,+100
6,2022-12-27,Dallas Stars,3,Nashville Predators,2,-125,-130,+105,+115
7,2022-12-27,Toronto Maple Leafs,5,St. Louis Blues,4,-145,-175,+125,+150
8,2022-12-27,Edmonton Oilers,2,Calgary Flames,1,+115,+120,-135,-140
9,2022-12-27,Colorado Avalanche,3,Arizona Coyotes,6,-245,-225,+205,+192
10,2022-12-27,San Jose Sharks,2,Vancouver Canucks,6,+140,+118,-165,-135
11,2022-12-27,Vegas Golden Knights,2,Los Angeles Kings,4,-110,+105,-110,-120
0,2022-12-28,Montréal Canadiens,1,Tampa Bay Lightning,4,+300,+285,-385,-350
1,2022-12-28,Detroit Red Wings,5,Pittsburgh Penguins,4,+160,+175,-194,-200
2,2022-12-28,Boston Bruins,3,New Jersey Devils,1,-120,-115,+100,-105
3,2022-12-28,Vegas Golden Knights,2,Anaheim Ducks,3,-235,-160,+190,+143
4,2022-12-28,Calgary Flames,3,Seattle Kraken,2,-110,-115,-110,-105
0,2022-12-29,New York Rangers,1,Tampa Bay Lightning,2,+122,+118,-146,-140
1,2022-12-29,Detroit Red Wings,3,Buffalo Sabres,6,+146,+158,-178,-175
2,2022-12-29,Montréal Canadiens,2,Florida Panthers,7,+270,+290,-345,-365
3,2022-12-29,Ottawa Senators,4,Washington Capitals,3,+136,+145,-164,-170
4,2022-12-29,Columbus Blue Jackets,1,New York Islanders,2,+180,+222,-220,-250
